date,value,value_scaled,value_sma_7,value_ema_7,value_sma_30,value_ema_30,value_diff_1,value_diff_2,value_lag_1,value_lag_7,value_lag_30,value_roll_min_7,value_roll_max_7,value_roll_mean_7,value_roll_std_7,value_roll_min_30,value_roll_max_30,value_roll_mean_30,value_roll_std_30,year,month,day,dayofweek,quarter,sin_year,cos_year,sin_month,cos_month,sin_week,cos_week
2020-01-01,95.06804480722388,0.06776860465405296,,95.06804480722388,,95.06804480722388,,,,,,,,,,,,,,2020,1,1,2,1,0.017201575418260506,0.9998520419557735,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
2020-01-02,95.88799980579851,0.1056137876511638,,95.27303355686755,,95.12094512971257,0.8199549985746302,,95.06804480722388,,,,,,,,,,,2020,1,2,3,1,0.03439806061360801,0.9994082116062598,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
2020-01-03,96.3847668863692,0.1285421692133468,,95.55096688924297,,95.20248201723881,0.49676708057069163,1.3167220791453218,95.88799980579851,,,,,,,,,,,2020,1,3,4,1,0.051584366869408364,0.9986686402879997,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
2020-01-04,101.1886243180382,0.35026514658354513,,96.96038124644177,,95.58868474632264,4.8038574316689875,5.300624512239679,96.3847668863692,,,,,,,,,,,2020,1,4,5,1,0.06875540848113941,0.9976335468520451,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
2020-01-05,106.04523147601827,0.5744227978672644,,99.23159380383589,,96.26330066436752,4.856607157980079,9.660464589649067,101.1886243180382,,,,,,,,,,,2020,1,5,6,1,0.08590610426133272,0.9963032375991965,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2020-01-06,105.45440868048604,0.5471532564233423,,100.78729752299843,,96.85627537508485,-0.5908227955322332,4.265784362447846,106.04523147601827,,,,,,,,,,,2020,1,6,0,1,0.10303137904317879,0.9946781061893646,0.49999999999999994,0.8660254037844387,0.0,1.0
2020-01-07,96.07150282349146,0.11408340524869513,99.44293982820365,99.6083488481217,,96.80564488788528,-9.382905856994583,-9.973728652526816,105.45440868048604,,,95.06804480722388,106.04523147601827,99.44293982820365,4.748188098794725,,,,,2020,1,7,1,1,0.1201261651823505,0.9927586335250793,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
2020-01-08,99.25242869130828,0.2608996595273309,100.04070895450143,99.51936880891834,,96.96350190746097,3.180925867816825,-6.201979989177758,96.07150282349146,95.06804480722388,,95.88799980579851,106.04523147601827,100.04070895450143,4.352528649712701,,,,,2020,1,8,2,1,0.13718540405660057,0.9905453876091833,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
2020-01-09,107.1166151026406,0.6238727182654746,101.64479685405028,101.41868038234891,,97.61854146844031,7.864186411332312,11.045112279149137,99.25242869130828,95.88799980579851,,96.07150282349146,107.1166151026406,101.64479685405028,4.627432738510239,,,,,2020,1,9,3,1,0.1542040475626894,0.988039023376751,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
2020-01-10,96.48525126838268,0.133180045477608,101.65915176576651,100.18532310385736,,97.54542597166241,-10.631363834257911,-2.7671774229255988,107.1166151026406,96.3847668863692,,96.07150282349146,107.1166151026406,101.65915176576651,4.608513054515969,,,,,2020,1,10,4,1,0.17117705961019986,0.985240282501282,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
2020-01-11,101.4989020909102,0.36458607775012125,101.70347716189109,100.51371785062057,,97.80048894709776,5.013650822527524,-5.6177130117303875,96.48525126838268,101.1886243180382,,96.07150282349146,107.1166151026406,101.70347716189109,4.604723772676258,,,,,2020,1,11,5,1,0.18809941761179758,0.9821499931752291,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
2020-01-12,99.54467865156424,0.2743885134839648,100.77482675839765,100.2714580508565,,97.91301731512787,-1.9542234393459665,3.059427383181557,101.4989020909102,106.04523147601827,,96.07150282349146,107.1166151026406,100.77482675839765,4.222829336209058,,,,,2020,1,12,6,1,0.20496611396949532,0.9787690698649216,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
2020-01-13,101.89054150691952,0.38266227143577386,100.26570287645957,100.67622891487225,,98.16963177911444,2.3458628553552785,0.39163941600931196,99.54467865156424,105.45440868048604,,96.07150282349146,107.1166151026406,100.26570287645957,3.7533453558326215,,,,,2020,1,13,0,1,0.22177215755648186,0.975098513039961,0.49999999999999994,0.8660254037844387,0.0,1.0
2020-01-14,103.43300490633254,0.4538549706919617,101.31734603115115,101.36542291273733,,98.50920423893497,1.5424633994130232,3.8883262547683017,101.89054150691952,96.07150282349146,,96.48525126838268,107.1166151026406,101.31734603115115,3.3966754076928876,,,,,2020,1,14,1,1,0.23851257519407648,0.9711394088771653,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336
2020-01-15,101.59697997830084,0.36911288178536805,101.65228192929294,101.4233121791282,,98.70841557695859,-1.836024928031705,-0.2935615286186817,103.43300490633254,99.25242869130828,,96.48525126838268,107.1166151026406,101.65228192929294,3.2724470987402334,,,,,2020,1,15,2,1,0.2551824131233728,0.9668929289391521,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
