date,value
2020-01-01,103.97605818653557
2020-01-02,95.78906030641411
2020-01-03,100.48406315191363
2020-01-04,87.50441606160658
2020-01-05,102.2763700564711
2020-01-06,98.65025826180113
2020-01-07,110.89823699240203
2020-01-08,98.61190304672215
2020-01-09,101.21994045697765
2020-01-10,103.38049355624393
2020-01-11,94.6519307990583
2020-01-12,100.02174450279806
2020-01-13,97.5698569611259
2020-01-14,104.390775901278
2020-01-15,102.05287821440189
2020-01-16,103.39062302289452
2020-01-17,106.68867151593203
2020-01-18,104.13882917946444
2020-01-19,107.69718565999909
2020-01-20,104.76923333840823
2020-01-21,111.71203424676294
2020-01-22,109.76142040213954
2020-01-23,107.68212398450494
2020-01-24,116.31950041636065
2020-01-25,104.81811033605727
2020-01-26,107.65246356220018
2020-01-27,107.55054287948367
2020-01-28,115.1386838556439
2020-01-29,109.22786639501663
2020-01-30,112.25168428216571
2020-01-31,108.77413250844165
2020-02-01,110.28080848898527
2020-02-02,110.32363771609376
2020-02-03,116.39796233950374
2020-02-04,120.71337209799651
2020-02-05,110.90091585020346
2020-02-06,109.65121145141933
2020-02-07,114.31850399738296
2020-02-08,115.00843420471058
2020-02-09,118.67374978072976
2020-02-10,116.08986093270603
2020-02-11,109.98695421339116
2020-02-12,118.43990080634843
2020-02-13,105.29650869716963
2020-02-14,111.92712289305216
2020-02-15,111.26826742014438
2020-02-16,107.36987423261982
2020-02-17,112.3126321543949
2020-02-18,124.22138296255463
2020-02-19,121.32720886547945
2020-02-20,120.9037765026988
2020-02-21,112.41269740175697
2020-02-22,116.54387600818335
2020-02-23,111.88546062088685
2020-02-24,113.16694074037612
2020-02-25,109.65595938882026
2020-02-26,113.03417197047824
2020-02-27,109.4990525075976
2020-02-28,118.35527837720458
2020-02-29,115.07068603900743
2020-03-01,110.38752701759071
2020-03-02,110.89604632208632
2020-03-03,120.01523458159478
2020-03-04,130.51515924411757
2020-03-05,120.1996301466996
2020-03-06,113.45850345932831
2020-03-07,121.21343399945391
2020-03-08,126.97680485258238
2020-03-09,115.17006920967282
2020-03-10,128.93744840886816
2020-03-11,120.19814441319323
2020-03-12,119.3609207052366
2020-03-13,118.2996125083479
2020-03-14,126.81729399530423
2020-03-15,121.02125243802728
2020-03-16,123.8945529698389
2020-03-17,117.95560297518338
2020-03-18,122.04827544175711
2020-03-19,117.13762941484707
2020-03-20,117.04090974076843
2020-03-21,132.726471328845
2020-03-22,115.62425190257264
2020-03-23,121.1846457971424
2020-03-24,126.73673540815793
2020-03-25,124.71653143653317
2020-03-26,121.51580611960935
2020-03-27,113.17064115136152
2020-03-28,132.31970919304234
2020-03-29,123.04250428297948
2020-03-30,127.03763239444754
2020-03-31,113.85665083406727
2020-04-01,112.41714626987054
2020-04-02,118.96313976718604
2020-04-03,118.50639758969763
2020-04-04,125.18281765262078
2020-04-05,117.74739235844207
2020-04-06,120.80463902885501
2020-04-07,125.26583031105307
2020-04-08,123.50608844698239
2020-04-09,125.54985337217974
2020-04-10,121.21399935516764
2020-04-11,123.06911522797603
2020-04-12,127.0984679049779
2020-04-13,121.1080794225144
2020-04-14,114.1294901839778
2020-04-15,128.46993620323073
2020-04-16,116.88777685231125
2020-04-17,121.51124078501341
2020-04-18,117.9105724978192
2020-04-19,124.07877622022752
2020-04-20,122.38924333891595
2020-04-21,121.28495603210717
2020-04-22,127.40885312121794
2020-04-23,124.88294444170327
2020-04-24,130.1693465701299
2020-04-25,122.8020105695239
2020-04-26,127.67525850829956
2020-04-27,120.23891078510427
2020-04-28,129.6702959883263
2020-04-29,128.4502666336324
2020-04-30,126.46504184558732
2020-05-01,124.70367258124011
2020-05-02,130.11806547978907
2020-05-03,121.30708368928272
2020-05-04,115.69057337592461
2020-05-05,120.0456858058298
2020-05-06,116.62703513597808
2020-05-07,120.2376417016112
2020-05-08,122.46855890848987
2020-05-09,118.6822032658869
2020-05-10,123.97584323738256
2020-05-11,109.9773398623856
2020-05-12,111.68950821691878
2020-05-13,120.20823288867065
2020-05-14,120.44367567212811
2020-05-15,121.60813005791915
2020-05-16,125.28026515345115
2020-05-17,115.80011961231546
2020-05-18,118.40261480625975
2020-05-19,117.25417106524948
2020-05-20,123.72026302488617
2020-05-21,124.97147870238129
2020-05-22,120.46253901867206
2020-05-23,119.64683908233809
2020-05-24,122.0310364497949
2020-05-25,127.67046699945303
2020-05-26,119.80057946236244
2020-05-27,127.92459775793839
2020-05-28,122.65879840539577
2020-05-29,125.17233484918182
2020-05-30,123.48812368488282
2020-05-31,123.71155127895365
2020-06-01,119.63034449217432
2020-06-02,114.95212949085636
2020-06-03,122.06757210498286
2020-06-04,109.72978821172096
2020-06-05,114.24411283335789
2020-06-06,110.62576654692732
2020-06-07,119.64205766552803
2020-06-08,123.70609117712729
2020-06-09,120.9526902743558
2020-06-10,123.71171594733336
2020-06-11,107.26334650824187
2020-06-12,112.78932437498197
2020-06-13,109.84970800295864
2020-06-14,112.09995506131577
2020-06-15,122.71337950027011
2020-06-16,113.33171399035955
2020-06-17,109.99001209588215
2020-06-18,113.46189636707317
2020-06-19,116.5333644431077
2020-06-20,117.62717180478313
2020-06-21,110.27543127221799
2020-06-22,110.01536646219121
2020-06-23,114.38353493303231
2020-06-24,114.66363854104522
2020-06-25,117.9286302283802
2020-06-26,111.38987251740917
2020-06-27,119.73005340054722
2020-06-28,119.60497006729626
2020-06-29,105.970892987715
2020-06-30,111.16501225263983
2020-07-01,115.06522687170663
2020-07-02,112.38864383823883
2020-07-03,118.82351895703898
2020-07-04,119.09320510933905
2020-07-05,123.38477505767663
2020-07-06,116.36388179066583
2020-07-07,107.07825664532513
2020-07-08,113.34898595273359
2020-07-09,115.84429261627865
2020-07-10,119.52691483885962
2020-07-11,109.83010579816145
2020-07-12,120.21004183788217
2020-07-13,119.17840371278108
2020-07-14,117.99862522173217
2020-07-15,113.76898584019085
2020-07-16,113.89562096136805
2020-07-17,109.1068507700466
2020-07-18,114.72897476076466
2020-07-19,111.50294778330618
2020-07-20,106.22453062864462
2020-07-21,111.50375580181037
2020-07-22,111.34250899999157
2020-07-23,109.28449910707963
2020-07-24,105.89671729097802
2020-07-25,111.54118961159948
2020-07-26,114.81348932250259
2020-07-27,108.67024792496011
2020-07-28,109.08101722220509
2020-07-29,102.58146416754589
2020-07-30,111.47424489077397
2020-07-31,103.245774975243
2020-08-01,109.72418115853945
2020-08-02,111.64742044849065
2020-08-03,105.4792880655465
2020-08-04,112.73376433784817
2020-08-05,105.88058782893943
2020-08-06,106.82999779872809
2020-08-07,95.05328575529064
2020-08-08,105.13914745083098
2020-08-09,107.6116402042404
2020-08-10,107.8362526695138
2020-08-11,101.46929190081853
2020-08-12,106.22956991960578
2020-08-13,102.10410491367873
2020-08-14,99.14462588605097
2020-08-15,108.40486430925728
2020-08-16,90.26000742768004
2020-08-17,107.95958800228713
2020-08-18,95.71159816791146
2020-08-19,98.1564401151324
2020-08-20,105.36361613936398
2020-08-21,101.62139529638688
2020-08-22,93.68443864179885
2020-08-23,99.89675045725029
2020-08-24,105.23140098522899
2020-08-25,93.96035461101611
2020-08-26,101.24514351254054
2020-08-27,106.13186747741288
2020-08-28,105.0809146145706
2020-08-29,96.44229371496438
2020-08-30,97.48558084254314
2020-08-31,97.60349395624267
2020-09-01,99.74365955503123
2020-09-02,101.08271495620436
2020-09-03,103.83333930685855
2020-09-04,104.48346738032104
2020-09-05,106.33727713636588
2020-09-06,104.90542010086622
2020-09-07,106.3159605872715
2020-09-08,97.94298971203044
2020-09-09,96.35712169494296
2020-09-10,99.17230566383796
2020-09-11,99.74513627114412
2020-09-12,110.2563931844249
2020-09-13,98.27434626497623
2020-09-14,93.74466499490642
2020-09-15,94.09675804416588
2020-09-16,98.88272436868158
2020-09-17,98.78311576539365
2020-09-18,99.44036082183806
2020-09-19,93.05843981297866
2020-09-20,97.46264195118862
2020-09-21,101.5583159273243
2020-09-22,88.31073380775213
2020-09-23,98.7772375021314
2020-09-24,98.83121524294238
2020-09-25,83.67497704583768
2020-09-26,98.2480374954475
2020-09-27,100.16365409448532
2020-09-28,98.15529953030043
2020-09-29,96.6316804038823
2020-09-30,85.80198638533932
2020-10-01,95.8024365872956
2020-10-02,101.25468399638362
2020-10-03,85.54069525719918
2020-10-04,95.6093186733166
2020-10-05,90.94285592402518
2020-10-06,97.65088817396776
2020-10-07,92.27408069043807
2020-10-08,102.74156490561114
2020-10-09,87.08199366256873
2020-10-10,105.66306554561628
2020-10-11,94.15719535996224
2020-10-12,98.76558766356052
2020-10-13,95.09885724171538
2020-10-14,88.35465151249286
2020-10-15,92.90497886153354
2020-10-16,96.96810934929093
2020-10-17,93.35193345371844
2020-10-18,90.83571399027637
2020-10-19,94.50237335946825
2020-10-20,95.46611261967654
2020-10-21,89.66666909831964
2020-10-22,100.3365721672639
2020-10-23,98.2155627915744
2020-10-24,94.52430611773369
2020-10-25,92.96203896189677
2020-10-26,104.99191094846405
2020-10-27,103.6541860531782
2020-10-28,94.89633527647806
2020-10-29,91.75821402498619
2020-10-30,106.25888739403999
2020-10-31,99.30289215910707
2020-11-01,89.61100545785379
2020-11-02,100.27671474311613
2020-11-03,96.585320759371
2020-11-04,95.9975962704398
2020-11-05,102.94052215821152
2020-11-06,92.4321170891054
2020-11-07,92.8379363476459
2020-11-08,101.65308785019535
2020-11-09,99.74583377894473
2020-11-10,91.61560431393823
2020-11-11,98.34673639619456
2020-11-12,108.41250063966173
2020-11-13,105.48048776077147
2020-11-14,91.71096509282125
2020-11-15,95.3472776162652
2020-11-16,100.54046299811088
2020-11-17,100.87606289745045
2020-11-18,108.4190401867904
2020-11-19,100.95556460101974
2020-11-20,103.33288580885116
2020-11-21,104.62911948242851
2020-11-22,111.61198378479578
2020-11-23,107.15968391988672
2020-11-24,107.7862576985668
2020-11-25,103.91982938521147
2020-11-26,105.91869107406092
2020-11-27,96.7066750972056
2020-11-28,99.94732378681567
2020-11-29,109.12742905349751
2020-11-30,92.98496379323755
2020-12-01,108.82661500352441
2020-12-02,111.17143356987764
2020-12-03,95.99616239025694
2020-12-04,96.98240072294305
2020-12-05,106.99404390282265
2020-12-06,100.2769431465702
2020-12-07,110.16222579002036
2020-12-08,109.4101914102429
2020-12-09,95.01156869180268
2020-12-10,110.42843167761292
2020-12-11,110.95120561888366
2020-12-12,113.32718568979317
2020-12-13,113.50473631207659
2020-12-14,115.62356051387093
2020-12-15,131.12759157617376
2020-12-16,110.20846895329464
2020-12-17,118.76490910758659
2020-12-18,119.95262349261863
2020-12-19,108.39215917117873
2020-12-20,106.32792183290387
2020-12-21,118.37969171441965
2020-12-22,123.76542549507185
2020-12-23,108.46861680932012
2020-12-24,123.819454226582
2020-12-25,116.01533532181502
2020-12-26,131.89687414211514
2020-12-27,125.09125223686054
2020-12-28,123.7732668493046
2020-12-29,125.595527453505
2020-12-30,119.92931662866194
2020-12-31,112.70020087026688
2021-01-01,124.68733114557514
2021-01-02,119.7275322918129
2021-01-03,125.09016530230828
2021-01-04,130.1665749366667
2021-01-05,116.55179755431494
2021-01-06,130.7312423750658
2021-01-07,121.92848169599974
2021-01-08,118.12614983332939
2021-01-09,128.1801848472021
2021-01-10,137.73851945100742
2021-01-11,125.58527667829732
2021-01-12,133.70173168493997
2021-01-13,136.05525983271534
2021-01-14,130.86108704620324
2021-01-15,135.87716522205693
2021-01-16,123.77845566666771
2021-01-17,143.06731863637353
2021-01-18,130.1996020479014
2021-01-19,133.08512500222946
2021-01-20,138.38965661081738
2021-01-21,138.70290254017593
2021-01-22,137.83307632483002
2021-01-23,137.8590628914021
2021-01-24,136.1484021319765
2021-01-25,131.13107585475825
2021-01-26,143.3531865365798
2021-01-27,128.63950932091402
2021-01-28,134.62255229097826
2021-01-29,137.3165419268619
2021-01-30,144.16633148715297
2021-01-31,137.79941895428075
2021-02-01,128.04385307337867
2021-02-02,140.60046029750532
2021-02-03,140.64471333810855
2021-02-04,131.26507273741237
2021-02-05,143.45381626548556
2021-02-06,132.38412314844695
2021-02-07,140.8226744657264
2021-02-08,142.27789650390585
2021-02-09,148.97050704281077
2021-02-10,135.26084298787492
2021-02-11,145.54099177377626
2021-02-12,145.71076697858905
2021-02-13,142.44597261295553
2021-02-14,144.68573968814923
2021-02-15,139.09356886436356
2021-02-16,150.0489558209942
2021-02-17,144.17799624284999
2021-02-18,140.89945462500475
2021-02-19,152.12071409976224
2021-02-20,151.48531046523976
2021-02-21,143.93297079888436
2021-02-22,144.44942307977112
2021-02-23,140.5708418335886
2021-02-24,144.58027556077977
2021-02-25,138.74451074247182
2021-02-26,140.1191427167387
2021-02-27,148.98214750297444
2021-02-28,145.3296364086467
2021-03-01,133.16232841214605
2021-03-02,136.2414407053568
2021-03-03,135.7508400915516
2021-03-04,142.89518328777197
2021-03-05,134.61750895483993
2021-03-06,134.61135385407786
2021-03-07,133.3876925471235
